iteration,original_objective,formulation_objective,raw_constraint_violation,undercured_voxels,overcured_voxels
0,1005.3163929731908,1005.3163929731908,0.0,0,996
1,994.703759450664,994.703759450664,0.0,0,988
2,984.0911259281377,984.0911259281377,0.0,0,980
3,973.478492405611,973.478492405611,0.0,0,948
4,962.8658588830845,962.8658588830845,0.0,0,940
5,952.253225360558,952.253225360558,0.0,0,932
6,941.6405918380315,941.6405918380315,0.0,0,932
7,931.0279583155047,931.0279583155047,0.0,0,924
8,920.4153247929785,920.4153247929785,0.0,0,920
9,909.8026912704518,909.8026912704518,0.0,0,920
10,899.1900577479252,899.1900577479252,0.0,0,920
11,888.5774242253988,888.5774242253988,0.0,0,920
12,877.964790702872,877.964790702872,0.0,0,920
13,867.3521571803456,867.3521571803456,0.0,0,908
14,856.7395236578191,856.7395236578191,0.0,0,900
15,846.1268901352926,846.1268901352926,0.0,0,888
16,835.5142566127661,835.5142566127661,0.0,0,880
17,824.9016230902395,824.9016230902395,0.0,0,876
18,814.288989567713,814.288989567713,0.0,0,876
19,803.6763560451864,803.6763560451864,0.0,0,856
20,793.0637225226598,793.0637225226598,0.0,0,848
21,782.4510890001333,782.4510890001333,0.0,0,840
22,771.8384554776068,771.8384554776068,0.0,0,824
23,761.2258219550802,761.2258219550802,0.0,0,816
24,750.6131884325537,750.6138135004296,0.0050002714966279616,4,804
25,740.0171269061132,740.1406584806082,0.07029411767565696,4,788
26,729.6374649139,730.0135588482364,0.12265299577856714,4,772
27,719.4313625416551,720.108956872498,0.1646322363139081,4,772
28,709.36459695946,710.347282700214,0.19826101389370931,4,772
29,699.4097684805594,700.6772227403471,0.22516254215901632,4,764
30,689.5451913132126,691.0656282004971,0.24661199381088517,4,748
31,679.7544207224571,681.4909194928636,0.26355255797707433,4,732
32,670.0266697340072,671.938711757598,0.27655321539195654,4,716
33,660.3573101088243,662.3990075948569,0.28577596022287166,4,692
34,650.7409185706235,652.8648769897814,0.29147613412818496,4,684
35,641.1582633312064,643.3328431657571,0.294929132813343,4,684
36,631.5961733564098,633.801575466628,0.29701192637455764,4,660
37,622.0465070014337,624.2705862982904,0.2982669473378955,4,620
38,612.5044073871505,614.7396978966138,0.29901775930291163,4,612
39,602.9671457718963,605.2088442522462,0.29944605392958146,4,580
40,593.4326439541474,595.6780019180459,0.2996903711431874,4,568
41,583.8997164406147,586.1471632642191,0.2998297399261386,4,552
42,574.3676869762184,576.6163258080007,0.29990924172371913,4,544
43,564.8361697967044,567.0854887414886,0.2999545928825992,4,544
44,555.3049448459683,557.5546518017887,0.29998046308521487,4,516
45,545.7738865947798,548.0238149033539,0.29999522053353334,4,508
46,536.2429234360034,538.492978018347,0.30000363880084024,4,500
47,526.712014521926,528.9621411377096,0.3000084409334941,4,484
48,517.1811365512992,519.4313042584939,0.3000111802713171,4,484
49,507.6502762321145,509.90046737974103,0.30001274290446756,4,476
50,498.1194259820521,500.3696305011386,0.3000136342959414,4,452
51,488.58858147583953,490.8387936225852,0.3000141427830122,4,436
52,479.05774024615965,481.3079567440478,0.3000144328453611,4,436
53,469.5269008855514,471.787865595979,0.32074692134676985,8,436
54,460.1405266372989,462.47432436395525,0.3746945328166039,8,428
55,451.1690060780163,453.7298957774022,0.6143228826407904,24,420
56,443.9767642017778,447.640552249184,0.9344259820139091,28,412
57,439.0890849496601,443.3861768816434,1.0688587053601704,28,404
58,435.28357011307264,439.72505314598646,1.0956676944637391,28,404
59,431.72536099002957,436.23350651317884,1.105523984093698,28,396
60,428.23189763131614,432.84769057194694,1.1410978325487542,32,388
61,425.0162796232581,429.74145083344774,1.191112253788889,32,372
62,422.16679819187266,426.9028064528088,1.2082282574168302,32,364
63,419.38761394514734,424.20680181799656,1.225314753962838,32,364
64,416.7234410021871,421.59307687310695,1.2335372392728607,32,364
65,414.0966086517628,419.03045084204985,1.241086654899389,32,364
66,411.5130153639867,416.5017178393468,1.2460306724087795,32,364
67,408.9518600857505,413.99638465240383,1.2503752995406336,32,364
68,406.41235139817235,411.5076234287821,1.253725725852839,32,364
69,403.8876333911368,409.0307995175288,1.256616762047166,32,364
70,401.37741157753373,406.56266538825525,1.258859912495498,32,356
71,398.8831567807689,404.10049868639493,1.2602915402026402,32,348
72,396.39735825899345,401.6851673697305,1.3029578019552484,36,348
73,394.26544739513207,399.43848428461047,1.3140240017003624,36,340
74,392.1487660188293,397.3014517482993,1.328427601878706,36,340
75,390.1156429569511,395.2355141086039,1.3348490188098918,36,324
76,388.09441163539043,393.21871839288366,1.3420808107121212,36,316
77,386.1068064646645,391.2368963603529,1.3466556888685337,36,308
78,384.13092225073456,389.28036779921473,1.3511391567415345,36,308
79,382.1722386885339,387.3423228985674,1.3545142904638892,36,292
80,380.2233567411822,385.417902378432,1.3575637814622579,36,292
81,378.28500778857097,383.50360874995704,1.360027308592485,36,284
82,376.35494236108826,381.5968618518383,1.3620691239159664,36,284
83,374.43277751001017,379.69566439250093,1.3636995645393815,36,284
84,372.51901806062085,377.7983010615314,1.364803311977381,36,284
85,370.6104449463909,375.90353896037396,1.3656469117354826,36,276
86,368.7053699748703,374.0105346440829,1.366364053826345,36,268
87,366.80543327641925,372.11878649128806,1.3666520900635155,36,252
88,364.91017738222035,370.2279993775044,1.3665312816571862,36,244
89,363.0132443016781,368.3377742084217,1.3668534342163854,36,228
90,361.11875556254495,366.44792519959356,1.3669909977178654,36,220
91,359.22426464132093,364.5583282335255,1.3672448712319105,36,204
92,357.33130062628754,362.6689021412369,1.3673846753535186,36,196
93,355.43881862319336,360.77959221153793,1.3675320594982043,36,188
94,353.77265716835086,359.0659253111194,1.360623437038921,36,180
95,352.22863470414325,357.5053877395294,1.3580283889301905,36,180
96,350.65741633906646,355.9497255857087,1.3600126681844382,36,172
97,349.1220427514278,354.4071648246843,1.3589642392970411,36,172
98,347.657308181616,352.92989074328545,1.3571086696778867,36,172
99,346.16797119471966,351.45276668750904,1.358566239196846,36,164
100,344.69403095807263,349.9757200709048,1.3580358245265787,36,164
