iteration,original_objective,formulation_objective,raw_constraint_violation,undercured_voxels,overcured_voxels
0,8056.942777598109,8056.942777598109,,0,996
1,4319.927958413995,4319.927958413995,,0,916
2,3638.1747108639106,3638.1747108639106,,0,848
3,3475.929852779095,3475.929852779095,,0,784
4,3414.858780887852,3414.858780887852,,0,732
5,3379.6764907165166,3379.6764907165166,,0,692
6,3354.424796843384,3354.424796843384,,0,680
7,3334.4353880572453,3334.4353880572453,,0,680
8,3317.6820803621804,3317.6820803621804,,0,672
9,3303.083122744777,3303.083122744777,,0,672
10,3290.0335575811396,3290.0335575811396,,0,672
11,3278.103177052535,3278.103177052535,,0,672
12,3266.9818213957324,3266.9818213957324,,0,672
13,3256.470908787427,3256.470908787427,,0,672
14,3246.4660907597754,3246.4660907597754,,0,664
15,3236.991468414134,3236.991468414134,,0,632
16,3227.831611465006,3227.831611465006,,0,632
17,3219.075413896835,3219.075413896835,,0,624
18,3210.590179428892,3210.590179428892,,0,616
19,3202.326281671608,3202.326281671608,,0,592
20,3194.293813410516,3194.293813410516,,0,584
21,3186.4440874776633,3186.4440874776633,,0,560
22,3178.7374911392844,3178.7374911392844,,0,560
23,3171.167831079643,3171.167831079643,,0,536
24,3164.03073248288,3164.03073248288,,0,528
25,3157.3037427462673,3157.3037427462673,,0,528
26,3150.7722748500546,3150.7722748500546,,0,520
27,3144.3615435858333,3144.3615435858333,,0,520
28,3138.0430900822776,3138.0430900822776,,0,520
29,3132.2468327787165,3132.2468327787165,,0,520
30,3126.7930125219164,3126.7930125219164,,0,520
31,3121.608262596159,3121.608262596159,,0,512
32,3116.5295935829326,3116.5295935829326,,0,512
33,3111.624783427331,3111.624783427331,,0,504
34,3106.81013994335,3106.81013994335,,0,504
35,3102.1301934405483,3102.1301934405483,,0,504
36,3097.7057682935656,3097.7057682935656,,0,504
37,3093.3577358172224,3093.3577358172224,,0,504
38,3089.166083937161,3089.166083937161,,0,504
39,3085.2652923849173,3085.2652923849173,,0,504
40,3081.7351188795737,3081.7351188795737,,0,496
41,3078.3335555695157,3078.3335555695157,,0,496
42,3075.0311280305887,3075.0311280305887,,0,496
43,3071.88828977768,3071.88828977768,,0,496
44,3068.824701868975,3068.824701868975,,0,496
45,3065.8790758290434,3065.8790758290434,,0,496
46,3063.0833275812265,3063.0833275812265,,0,496
47,3060.4989132311775,3060.4989132311775,,0,496
48,3058.26581524429,3058.26581524429,,0,496
49,3056.27084067585,3056.27084067585,,0,496
50,3054.373517111121,3054.373517111121,,0,488
51,3052.5993718369477,3052.5993718369477,,0,480
52,3050.865843590192,3050.865843590192,,0,480
53,3049.2137430355738,3049.2137430355738,,0,480
54,3047.6974007225626,3047.6974007225626,,0,480
55,3046.2790372744485,3046.2790372744485,,0,480
56,3044.8991091462826,3044.8991091462826,,0,480
57,3043.56125598822,3043.56125598822,,0,480
58,3042.2376166349673,3042.2376166349673,,0,480
59,3040.9233555533815,3040.9233555533815,,0,480
60,3039.671164165846,3039.671164165846,,0,480
61,3038.448743945407,3038.448743945407,,0,480
62,3037.335460883608,3037.335460883608,,0,480
63,3036.316338682589,3036.316338682589,,0,480
64,3035.340528217473,3035.340528217473,,0,480
65,3034.371486867537,3034.371486867537,,0,480
66,3033.428401063209,3033.428401063209,,0,480
67,3032.5265032194866,3032.5265032194866,,0,480
68,3031.6410131804464,3031.6410131804464,,0,480
69,3030.774405675732,3030.774405675732,,0,480
70,3029.9240717510766,3029.9240717510766,,0,480
71,3029.0846336628,3029.0846336628,,0,480
72,3028.2493655968224,3028.2493655968224,,0,480
73,3027.4375897019754,3027.4375897019754,,0,480
74,3026.6620365173612,3026.6620365173612,,0,480
75,3025.907998223599,3025.907998223599,,0,480
76,3025.1822256618325,3025.1822256618325,,0,480
77,3024.4660613731794,3024.4660613731794,,0,480
78,3023.762678458683,3023.762678458683,,0,480
79,3023.0990306437916,3023.0990306437916,,0,480
80,3022.438139937961,3022.438139937961,,0,480
81,3021.779855628098,3021.779855628098,,0,480
82,3021.1285551644146,3021.1285551644146,,0,480
83,3020.491776384234,3020.491776384234,,0,480
84,3019.8618499944846,3019.8618499944846,,0,480
85,3019.2343834493877,3019.2343834493877,,0,480
86,3018.615613768678,3018.615613768678,,0,480
87,3018.002254919949,3018.002254919949,,0,480
88,3017.3909830897483,3017.3909830897483,,0,480
89,3016.792716962591,3016.792716962591,,0,480
90,3016.231847357586,3016.231847357586,,0,480
91,3015.6739527785285,3015.6739527785285,,0,480
92,3015.1187364903244,3015.1187364903244,,0,480
93,3014.5898886531054,3014.5898886531054,,0,480
94,3014.070591278786,3014.070591278786,,0,480
95,3013.554173473417,3013.554173473417,,0,480
96,3013.062608004241,3013.062608004241,,0,480
97,3012.5817516888887,3012.5817516888887,,0,480
98,3012.1040120130992,3012.1040120130992,,0,480
99,3011.6350643839087,3011.6350643839087,,0,480
100,3011.199053397756,3011.199053397756,,0,480
