iteration,record_type,original_objective,raw_constraint_violation,raw_penalty,weighted_penalty,formulation_objective,min_constraint_margin,violated_constraint_count,mean_constraint_violation,max_constraint_violation,min_inside_constraint_margin,min_outside_constraint_margin,undercured_voxels,overcured_voxels
0,initial,1006.6961840897205,,,,1006.6961840897205,,,,,,,0,996
1,iteration,967.8815388802215,,,,967.8815388802215,,,,,,,0,988
2,iteration,929.8218861224909,,,,929.8218861224909,,,,,,,0,924
3,iteration,893.9678321940871,,,,893.9678321940871,,,,,,,0,924
4,iteration,858.1137782656833,,,,858.1137782656833,,,,,,,0,924
5,iteration,822.2597243372794,,,,822.2597243372794,,,,,,,0,924
6,iteration,786.4107995512064,,,,786.4107995512064,,,,,,,0,920
7,iteration,750.7129451962852,,,,750.7129451962852,,,,,,,0,920
8,iteration,715.1176112768351,,,,715.1176112768351,,,,,,,0,912
9,iteration,679.8669786511176,,,,679.8669786511176,,,,,,,0,908
10,iteration,645.0432557992677,,,,645.0432557992677,,,,,,,0,888
11,iteration,611.866739783836,,,,611.866739783836,,,,,,,0,844
12,iteration,580.0264201884087,,,,580.0264201884087,,,,,,,0,832
13,iteration,548.8280677807356,,,,548.8280677807356,,,,,,,0,816
14,iteration,518.4983870951173,,,,518.4983870951173,,,,,,,0,792
15,iteration,489.31129957602525,,,,489.31129957602525,,,,,,,0,768
16,iteration,460.8790079313576,,,,460.8790079313576,,,,,,,0,748
17,iteration,433.402629163338,,,,433.402629163338,,,,,,,0,740
18,iteration,406.8082186325476,,,,406.8082186325476,,,,,,,0,708
19,iteration,381.9826643261433,,,,381.9826643261433,,,,,,,0,684
20,iteration,358.27092189138614,,,,358.27092189138614,,,,,,,0,660
21,iteration,335.80192320868167,,,,335.80192320868167,,,,,,,0,628
22,iteration,314.7341911638571,,,,314.7341911638571,,,,,,,0,604
23,iteration,294.6539731327263,,,,294.6539731327263,,,,,,,0,584
24,iteration,275.35000965611835,,,,275.35000965611835,,,,,,,0,560
25,iteration,257.3405270347225,,,,257.3405270347225,,,,,,,0,528
26,iteration,241.05606979582538,,,,241.05606979582538,,,,,,,4,496
27,iteration,226.1574916844634,,,,226.1574916844634,,,,,,,4,464
28,iteration,212.4669289601558,,,,212.4669289601558,,,,,,,4,428
29,iteration,200.01090840999817,,,,200.01090840999817,,,,,,,4,416
30,iteration,188.34993108099746,,,,188.34993108099746,,,,,,,4,392
31,iteration,177.41277264058718,,,,177.41277264058718,,,,,,,4,384
32,iteration,166.7216899110167,,,,166.7216899110167,,,,,,,4,384
33,iteration,156.3539371372115,,,,156.3539371372115,,,,,,,4,360
34,iteration,146.96807764916258,,,,146.96807764916258,,,,,,,4,360
35,iteration,137.59319902289113,,,,137.59319902289113,,,,,,,4,356
36,iteration,128.4433852344348,,,,128.4433852344348,,,,,,,4,348
37,iteration,119.39540724408307,,,,119.39540724408307,,,,,,,4,348
38,iteration,110.3681066062423,,,,110.3681066062423,,,,,,,4,340
39,iteration,101.83830919640226,,,,101.83830919640226,,,,,,,4,332
40,iteration,93.77935443000369,,,,93.77935443000369,,,,,,,8,300
41,iteration,86.87512071804345,,,,86.87512071804345,,,,,,,8,292
42,iteration,80.23642869955339,,,,80.23642869955339,,,,,,,8,284
43,iteration,73.85999689526884,,,,73.85999689526884,,,,,,,8,284
44,iteration,67.82267032162723,,,,67.82267032162723,,,,,,,8,260
45,iteration,62.44237095700028,,,,62.44237095700028,,,,,,,8,252
46,iteration,57.534627870538294,,,,57.534627870538294,,,,,,,8,228
47,iteration,53.21549629716467,,,,53.21549629716467,,,,,,,8,228
48,iteration,48.94781015202041,,,,48.94781015202041,,,,,,,8,220
49,iteration,44.991493280150536,,,,44.991493280150536,,,,,,,12,216
50,iteration,41.21339550599373,,,,41.21339550599373,,,,,,,12,216
51,iteration,37.519303224913465,,,,37.519303224913465,,,,,,,12,216
52,iteration,33.87909755450977,,,,33.87909755450977,,,,,,,12,208
53,iteration,30.486548969972944,,,,30.486548969972944,,,,,,,16,200
54,iteration,27.54188268396455,,,,27.54188268396455,,,,,,,20,184
55,iteration,24.905940014579038,,,,24.905940014579038,,,,,,,28,184
56,iteration,22.518529554474455,,,,22.518529554474455,,,,,,,32,160
57,iteration,20.61954728609314,,,,20.61954728609314,,,,,,,40,160
58,iteration,18.881401296265075,,,,18.881401296265075,,,,,,,40,152
59,iteration,17.313803114690884,,,,17.313803114690884,,,,,,,40,152
60,iteration,15.916652586417076,,,,15.916652586417076,,,,,,,40,128
61,iteration,14.80389062884986,,,,14.80389062884986,,,,,,,40,128
62,iteration,13.693894959948683,,,,13.693894959948683,,,,,,,40,124
63,iteration,12.622293407333077,,,,12.622293407333077,,,,,,,40,124
64,iteration,11.550691854717497,,,,11.550691854717497,,,,,,,40,124
65,iteration,10.479090302101888,,,,10.479090302101888,,,,,,,40,124
66,iteration,9.44722025014319,,,,9.44722025014319,,,,,,,40,116
67,iteration,8.469725713359878,,,,8.469725713359878,,,,,,,40,108
68,iteration,7.5411187394801065,,,,7.5411187394801065,,,,,,,40,100
69,iteration,6.713485184304991,,,,6.713485184304991,,,,,,,40,100
70,iteration,5.885851629129879,,,,5.885851629129879,,,,,,,40,100
71,iteration,5.143726160812219,,,,5.143726160812219,,,,,,,40,84
72,iteration,4.570181092994879,,,,4.570181092994879,,,,,,,40,60
73,iteration,4.148260245413159,,,,4.148260245413159,,,,,,,36,60
74,iteration,3.76679239887816,,,,3.76679239887816,,,,,,,36,60
75,iteration,3.4230548107320926,,,,3.4230548107320926,,,,,,,36,52
76,iteration,3.0988061985289557,,,,3.0988061985289557,,,,,,,36,52
77,iteration,2.778053243417152,,,,2.778053243417152,,,,,,,36,44
78,iteration,2.476831390236106,,,,2.476831390236106,,,,,,,36,60
79,iteration,2.203894892164939,,,,2.203894892164939,,,,,,,36,36
80,iteration,1.942675490103299,,,,1.942675490103299,,,,,,,32,28
81,iteration,1.7243676485756994,,,,1.7243676485756994,,,,,,,32,12
82,iteration,1.5659752421567017,,,,1.5659752421567017,,,,,,,32,52
83,iteration,1.3547951484692828,,,,1.3547951484692828,,,,,,,32,12
84,iteration,1.142113783844657,,,,1.142113783844657,,,,,,,28,28
85,iteration,0.9802048744043629,,,,0.9802048744043629,,,,,,,28,12
86,iteration,0.8626336308561251,,,,0.8626336308561251,,,,,,,24,52
87,iteration,0.7258518193481748,,,,0.7258518193481748,,,,,,,28,12
88,iteration,0.564068913542636,,,,0.564068913542636,,,,,,,24,12
89,iteration,0.47368003305819784,,,,0.47368003305819784,,,,,,,20,28
90,iteration,0.36876003696513426,,,,0.36876003696513426,,,,,,,16,12
91,iteration,0.30050602014375927,,,,0.30050602014375927,,,,,,,12,20
92,iteration,0.2669326283300797,,,,0.2669326283300797,,,,,,,12,4
93,iteration,0.24045554379432044,,,,0.24045554379432044,,,,,,,4,4
94,iteration,0.223189962609181,,,,0.223189962609181,,,,,,,4,0
95,iteration,0.2143916899473396,,,,0.2143916899473396,,,,,,,4,16
96,iteration,0.20575344251917216,,,,0.20575344251917216,,,,,,,4,0
97,iteration,0.19196649024140877,,,,0.19196649024140877,,,,,,,4,0
98,iteration,0.17817953796364938,,,,0.17817953796364938,,,,,,,4,0
99,iteration,0.16439258568588466,,,,0.16439258568588466,,,,,,,4,0
100,iteration,0.15060563340812583,,,,0.15060563340812583,,,,,,,4,0
