iteration,original_objective,formulation_objective,raw_constraint_violation,undercured_voxels,overcured_voxels
0,-5168.879586195366,157694088.94536802,1006.6961840897205,0,996
1,-0.8208465194956841,-0.8208465194956841,0.0,1000,0
2,-275.06754313301894,-275.06754313301894,0.0,1000,0
3,-549.3142397465424,-549.3142397465424,0.0,1000,0
4,-823.5609363600656,-823.5609363600656,0.0,712,0
5,-1097.8076329735889,-1097.8076329735889,0.0,360,0
6,-1372.0543295871125,-843.6666044195181,0.2907611322491628,144,16
7,-666.9934855642052,-666.9934855642052,0.0,700,0
8,-941.2401821777283,1749.971725489051,0.7307717187486938,560,40
9,-365.779028498162,-365.779028498162,0.0,904,0
10,-640.0257251116853,-640.0257251116853,0.0,808,0
11,-914.2724217252085,-914.2724217252085,0.0,656,0
12,-1188.5191183387317,-1188.5191183387317,0.0,400,0
13,-1462.7658149522551,4328.453023293951,1.3096382100596964,192,40
14,-921.9425214052422,-921.9425214052422,0.0,456,0
15,-1196.1892180187651,51394.290401588936,5.131183818276218,364,64
16,-216.33731420085255,-216.33731420085255,0.0,996,0
17,-490.231187734387,-490.231187734387,0.0,932,0
18,-760.5538012146484,-760.5538012146484,0.0,760,0
19,-1030.8764146949095,-1030.8764146949095,0.0,500,0
20,-1301.199028175171,7707.412238783514,1.0095131826459705,220,16
21,-1102.5644931470003,-1030.0224414856802,0.07617981447145694,444,8
22,-658.5429892165884,-658.5429892165884,0.0,896,0
23,-928.8656026968495,-928.8656026968495,0.0,588,0
24,-1199.188216177111,20614.769351516064,2.817756701816183,288,48
25,-660.0767918579932,-660.0767918579932,0.0,792,0
26,-930.3994053382547,-930.3994053382547,0.0,616,0
27,-1200.7220188185158,-1200.7220188185158,0.0,416,0
28,-1471.0446322987773,29585.57240790735,3.052087470736331,236,44
29,-1083.0861461680192,-1083.0861461680192,0.0,516,0
30,-1353.0559365682918,49010.65043918205,4.498459968178754,420,48
31,-654.6620049352612,-654.6620049352612,0.0,752,0
32,-924.9846184155226,-924.9846184155226,0.0,620,0
33,-1195.3072318957838,-1195.3072318957838,0.0,452,0
34,-1465.6298453760455,20964.72385903987,3.0176299507698428,280,56
35,-403.54064230902327,-403.54064230902327,0.0,852,0
36,-675.8252973559156,-315.4209324630944,0.12006737523454425,752,4
37,-564.6435055959473,-564.6435055959473,0.0,896,0
38,-836.9281606428394,-836.9281606428394,0.0,740,0
39,-1109.212815689732,3427.8194974153553,0.5582704885333274,416,12
40,-1304.0205733772134,30458.662920050432,2.8836773428046643,216,48
41,-533.3233414133073,-533.3233414133073,0.0,800,0
42,-805.6079964601996,-805.6079964601996,0.0,712,0
43,-1077.892651507092,-1077.892651507092,0.0,560,0
44,-1350.1773065539842,-1350.1773065539842,0.0,308,0
45,-1622.4619616008767,35959.92493811935,3.661469178247193,140,40
46,-988.7490068354169,-751.7565061379379,0.10198015001591187,428,12
47,-746.7850095906085,-746.7850095906085,0.0,696,0
48,-1017.1076230708696,53470.07965773958,4.522887607622884,540,48
49,-385.16470599053554,-385.16470599053554,0.0,996,0
50,-655.4873194707969,-655.4873194707969,0.0,816,0
51,-925.8099329510582,-925.8099329510582,0.0,512,0
52,-1196.1325464313197,58727.25975403325,5.092991298033768,308,76
53,-386.7615956309727,-386.7615956309727,0.0,900,0
54,-657.0842091112339,-657.0842091112339,0.0,824,0
55,-927.4068225914953,-927.4068225914953,0.0,652,0
56,-1197.7294360717563,-1197.7294360717563,0.0,408,0
57,-1468.052049552018,-1468.052049552018,0.0,168,0
58,-1738.3746630322787,39677.58184881527,5.509219975791652,56,96
59,-45.64199882746918,-45.64199882746918,0.0,1000,0
60,-317.9266538743615,-317.9266538743615,0.0,1000,0
61,-590.2113089212538,-590.2113089212538,0.0,972,0
62,-862.495963968146,-862.495963968146,0.0,660,0
63,-1134.7806190150384,-1134.7806190150384,0.0,336,0
64,-1407.0652740619312,-467.49084215551454,0.49904119571977124,136,28
65,-472.16562586534866,-472.16562586534866,0.0,840,0
66,-744.450280912241,-744.450280912241,0.0,688,0
67,-1016.7349359591333,8008.933579913564,1.4496633332996574,544,32
68,-537.3686377267715,-537.3686377267715,0.0,788,0
69,-809.6532927736638,-809.6532927736638,0.0,664,0
70,-1081.9379478205565,-1081.9379478205565,0.0,532,0
71,-1354.2226028674484,34123.89049153393,3.669572368545479,348,48
72,-781.7990042766386,-781.7990042766386,0.0,608,0
73,-1054.0836593235315,-1054.0836593235315,0.0,432,0
