iteration,original_objective,formulation_objective,raw_constraint_violation,undercured_voxels,overcured_voxels
0,4162.985653427058,14229.947494324264,1006.6961840897204,0,996
1,3157.7083768086195,8600.85418812841,544.3145811319789,0,816
2,2709.731356459737,5000.460901189028,229.0729544729291,0,480
3,2640.042483153388,3641.1997231235323,100.11572399701444,8,316
4,2661.291270142304,3076.008920086281,41.471764994397695,24,216
5,2683.7061003265985,2893.9225916896694,21.021649136307094,56,140
6,2687.345006288911,2825.064177748316,13.771917145940497,56,108
7,2679.302518792406,2781.813166723664,10.251064793125806,48,96
8,2666.1146610066535,2751.579886182075,8.546522517542162,48,68
9,2648.630767658788,2730.066110638921,8.143534298013309,48,88
10,2640.076792776935,2713.0699528214077,7.299316004447287,48,88
11,2632.0941838050003,2700.849311922535,6.875512811753493,64,68
12,2623.4004521974452,2696.7851409449227,7.338468874747731,44,112
13,2620.4030904467345,2681.641952651803,6.123886220506865,56,64
14,2608.2566784128326,2675.206721490138,6.695004307730553,40,128
15,2610.3802806164003,2669.49488597104,5.911460535463948,72,56
16,2604.400816412751,2673.453166234325,6.905234982157422,32,128
17,2599.623640782066,2654.045246205429,5.442160542336283,56,48
18,2584.1730610510967,2648.4491271105107,6.427606605941399,40,128
19,2589.3166458075452,2636.8971464238225,4.758050061627744,52,48
20,2574.9406403864236,2633.1501772156853,5.820953682926187,44,136
21,2581.408516776129,2624.9889075319493,4.358039075582003,44,48
22,2568.3426741848757,2618.925085612489,5.058241142761354,40,128
23,2573.787499167649,2617.1224527855857,4.333495361793686,52,32
24,2556.6042292284997,2619.560778511684,6.295654928318447,36,136
25,2565.3172079374403,2607.7658044329714,4.244859649553096,52,24
26,2547.668140179738,2613.7189165308914,6.605077635115309,24,136
27,2556.7595397937134,2602.169823767997,4.541028397428384,56,32
28,2541.415035569368,2602.2337788362715,6.081874326690374,36,136
29,2550.6345486592922,2592.119411078491,4.148486241919883,52,32
30,2535.1298086793217,2593.835860352158,5.870605167283624,28,128
31,2542.9872228017052,2583.716421497493,4.072919869578769,44,32
32,2528.556975114408,2585.32638113538,5.676940602097213,32,128
33,2537.1251723465875,2577.2526323796396,4.012746003305206,52,32
34,2522.630657672767,2580.164368134384,5.753371046161707,24,136
35,2532.374270269538,2575.2496469289085,4.287537665937034,56,24
36,2517.19647723577,2576.664129334207,5.946765209843656,24,144
37,2528.6392909456918,2572.3038707085843,4.3664579762892455,64,24
38,2516.519443886098,2573.698579752386,5.717913586628809,28,144
39,2526.4959899224914,2565.349956688833,3.885396676634162,56,32
40,2513.1735749558957,2560.368721728925,4.719514677302903,32,136
41,2522.4715659425137,2559.104718944948,3.663315300243469,52,32
42,2508.897074646496,2556.132585443033,4.72355107965366,20,136
43,2518.740972143187,2557.463532010088,3.8722559866901225,52,24
44,2503.6754983726473,2553.7801871378506,5.010468876520345,20,136
45,2516.0880741682913,2556.59400180455,4.050592763625854,56,16
46,2499.7363055453043,2553.322017706784,5.358571216148003,24,144
47,2511.0004403324333,2549.3138835365444,3.8313443204111173,52,16
48,2495.867090129288,2551.896221816176,5.602913168688783,12,136
49,2509.7892465301843,2550.448703770588,4.065945724040376,52,16
50,2493.152991807392,2545.750441923812,5.259745011642021,28,136
51,2502.980952813845,2541.8538590837143,3.88729062698696,52,40
52,2492.342245012696,2533.1433033944495,4.080105838175337,40,136
53,2500.5894540072863,2537.0903663229255,3.650091231563938,52,40
