iteration,penalty_weight,original_objective,raw_penalty,weighted_penalty,penalized_objective,gradient_norm,undercured_voxels,overcured_voxels
0,1.0,2686.865402337642,0.0,0.0,2686.865402337642,264.37901712467306,0,996
1,1.0,2608.6293461117293,0.0,0.0,2608.6293461117293,264.37901712467306,0,964
2,1.0,2530.3932898858156,0.0,0.0,2530.3932898858156,264.37901712467306,0,924
3,1.0,2452.1572336599024,0.0,0.0,2452.1572336599024,264.37901712467306,0,924
4,1.0,2373.9211774339897,0.0,0.0,2373.9211774339897,264.37901712467306,0,920
5,1.0,2295.685121208077,0.0,0.0,2295.685121208077,264.37901712467306,0,912
6,1.0,2217.449064982163,0.0,0.0,2217.449064982163,264.37901712467306,0,900
7,1.0,2139.2130087562505,0.0,0.0,2139.2130087562505,264.37901712467306,0,840
8,1.0,2060.976952530337,0.0,0.0,2060.976952530337,264.37901712467306,0,816
9,1.0,1982.7408963044243,0.0,0.0,1982.7408963044243,264.37901712467306,0,800
10,1.0,1904.5048400785108,0.0,0.0,1904.5048400785108,264.37901712467306,0,748
11,1.0,1826.2687838525976,0.0,0.0,1826.2687838525976,264.37901712467306,0,716
12,1.0,1748.0327276266846,0.00010370984271150123,0.00010370984271150123,1748.0328313365274,264.3771044176584,4,676
13,1.0,1669.7980344964988,0.005942609064233131,0.005942609064233131,1669.803977105563,264.3645426476798,4,660
14,1.0,1591.572296494524,0.02069578619377525,0.02069578619377525,1591.5929922807177,264.35201292565034,4,612
15,1.0,1513.3554958809168,0.04431025367077696,0.04431025367077696,1513.3998061345876,264.3395151607456,4,560
16,1.0,1435.1476149509756,0.07673326873280581,0.07673326873280581,1435.2243482197084,264.32704926242275,4,528
17,1.0,1356.9486360350716,0.11791233237716439,0.11791233237716439,1357.0665483674488,264.3146151404199,4,456
18,1.0,1278.7585414985776,0.18891418910597718,0.18891418910597718,1278.9474556876837,264.2748778588438,8,392
19,1.0,1200.6410651607423,0.35901032855157,0.35901032855157,1201.000075489294,264.22138802344523,8,336
20,1.0,1123.7090062044579,0.6180661439879324,0.6180661439879324,1124.3270723484459,264.17052110251956,8,300
21,1.0,1048.325015790972,0.9941185148588417,0.9941185148588417,1049.3191343058309,264.05274566042294,28,292
