iteration,penalty_weight,original_objective,raw_penalty,weighted_penalty,penalized_objective,gradient_norm,undercured_voxels,overcured_voxels
0,10000.0,-5168.879586195366,1576.992578249542,15769925.78249542,15764756.902909225,1622746.1121001386,0,996
1,10000.0,-0.8208465194956841,0.0,0.0,-0.8208465194956841,95.61148756182024,1000,0
2,10000.0,-275.06754313301894,0.0,0.0,-275.06754313301894,95.61148756182024,1000,0
3,10000.0,-549.3142397465424,0.0,0.0,-549.3142397465424,95.61148756182024,1000,0
4,10000.0,-823.5609363600656,0.0,0.0,-823.5609363600656,95.61148756182024,712,0
5,10000.0,-1097.8076329735889,0.0,0.0,-1097.8076329735889,95.61148756182024,360,0
6,10000.0,-1372.0543295871125,0.005283877251675945,52.83877251675945,-1319.215557070353,824.1491053918289,144,16
7,10000.0,-1015.4591974584832,0.0,0.0,-1015.4591974584832,95.61148756182024,484,0
8,10000.0,-1289.7058940720062,0.09572402936452734,957.2402936452734,-332.46560042673286,5559.650529193241,268,48
9,10000.0,-695.237280908386,0.0,0.0,-695.237280908386,95.61148756182024,672,0
10,10000.0,-969.483977521909,0.0,0.0,-969.483977521909,95.61148756182024,572,0
11,10000.0,-1243.7306741354325,0.21237942154062145,2123.7942154062143,880.0635412707818,8059.888659550476,432,48
12,10000.0,-668.1925393825255,0.0,0.0,-668.1925393825255,95.61148756182024,748,0
13,10000.0,-942.4392359960489,0.0,0.0,-942.4392359960489,95.61148756182024,540,0
14,10000.0,-1216.685932609572,0.0,0.0,-1216.685932609572,95.61148756182024,368,0
15,10000.0,-1490.9326292230958,1.3643185266340936,13643.185266340935,12152.25263711784,24544.225044502226,228,112
16,10000.0,-222.56678025068618,0.0,0.0,-222.56678025068618,95.61148756182024,992,0
17,10000.0,-496.6370653242151,0.0,0.0,-496.6370653242151,95.61148756182024,924,0
18,10000.0,-768.0847988523022,0.0,0.0,-768.0847988523022,95.61148756182024,772,0
19,10000.0,-1038.4074123325634,0.04880673567069782,488.0673567069782,-550.3400556255851,3628.71881456366,500,12
20,10000.0,-1234.528064727821,0.03590089413168157,359.0089413168157,-875.5191234110052,3671.000562275047,288,12
21,10000.0,-1087.963155252367,1.2343870318593649e-05,0.12343870318593649,-1087.839716549181,87.46691539520808,472,8
22,10000.0,-1319.0473117770389,0.17228679780652834,1722.8679780652833,403.8206662882444,7021.088109075776,364,64
23,10000.0,-397.5483629505254,0.0,0.0,-397.5483629505254,95.61148756182024,984,0
24,10000.0,-669.8330179974179,0.0,0.0,-669.8330179974179,95.61148756182024,820,0
25,10000.0,-942.11767304431,0.004740469376956935,47.40469376956935,-894.7129792747406,718.8336018334246,476,16
26,10000.0,-768.5917622302275,0.0,0.0,-768.5917622302275,95.61148756182024,736,0
27,10000.0,-1040.87641727712,0.0,0.0,-1040.87641727712,95.61148756182024,516,0
28,10000.0,-1312.9846607840177,0.003766992786226469,37.66992786226469,-1275.314732921753,793.9008581277427,276,4
29,10000.0,-1512.7630176281823,0.22984747975185432,2298.4747975185433,785.711779890361,7841.855755086881,156,52
30,10000.0,-994.5048247537261,0.0,0.0,-994.5048247537261,95.61148756182024,528,0
31,10000.0,-1262.8653966673567,0.3380233706613527,3380.233706613527,2117.3683099461705,10858.682591979265,448,64
32,10000.0,-462.1803817284775,0.0,0.0,-462.1803817284775,95.61148756182024,916,0
33,10000.0,-734.4650367753701,0.0,0.0,-734.4650367753701,95.61148756182024,756,0
34,10000.0,-1006.7496918222623,0.0,0.0,-1006.7496918222623,95.61148756182024,524,0
35,10000.0,-1279.0343468691544,0.0,0.0,-1279.0343468691544,95.61148756182024,312,0
36,10000.0,-1551.319001916047,1.3430322152444665,13430.322152444665,11879.003150528619,23608.720590562472,180,96
37,10000.0,-271.7281824617536,0.0,0.0,-271.7281824617536,95.61148756182024,952,0
38,10000.0,-542.0507959420149,0.0,0.0,-542.0507959420149,95.61148756182024,868,0
39,10000.0,-812.3734094222762,0.04591222162135559,459.1222162135559,-353.2511932087203,3315.5705920007026,744,12
40,10000.0,-1010.6980947191404,0.0,0.0,-1010.6980947191404,95.61148756182024,524,0
41,10000.0,-1281.020708199402,0.035402053490036584,354.0205349003658,-927.0001732990361,3599.6154646467785,272,12
42,10000.0,-1137.4059058552193,0.00015343737064545246,1.5343737064545246,-1135.8715321487648,132.92377014305083,436,16
43,10000.0,-1224.0039874072013,0.0,0.0,-1224.0039874072013,95.61148756182024,412,0
44,10000.0,-1490.402517754201,0.017092035419499114,170.92035419499115,-1319.4821635592098,1876.296172457628,240,48
45,10000.0,-633.9394166414666,0.0,0.0,-633.9394166414666,95.61148756182024,856,0
46,10000.0,-900.5528404473536,0.0,0.0,-900.5528404473536,95.61148756182024,644,0
47,10000.0,-1166.951370794353,0.0,0.0,-1166.951370794353,95.61148756182024,404,0
48,10000.0,-1433.3499011413523,0.08463639307492653,846.3639307492653,-586.9859703920871,4372.427146501652,232,32
49,10000.0,-979.7477647758615,0.009980117595458192,99.80117595458192,-879.9465888212795,1296.1791152813068,612,4
50,10000.0,-1172.6608447858982,0.0,0.0,-1172.6608447858982,95.61148756182024,516,0
51,10000.0,-1435.0619827594014,0.012646485135100282,126.46485135100282,-1308.5971314083986,1246.0989952858827,352,16
52,10000.0,-1275.7300692082315,0.0,0.0,-1275.7300692082315,95.61148756182024,388,0
53,10000.0,-1544.0906411218614,0.019849232694475485,198.49232694475486,-1345.5983141771064,2520.2649060539,220,20
54,10000.0,-1353.4009015728088,0.32265973828585737,3226.597382858574,1873.196481285765,9196.161854637996,436,40
55,10000.0,-518.4171762564259,0.0,0.0,-518.4171762564259,95.61148756182024,916,0
56,10000.0,-781.4546161509049,0.0,0.0,-781.4546161509049,95.61148756182024,724,0
57,10000.0,-1044.2601972411235,0.0,0.0,-1044.2601972411235,95.61148756182024,472,0
58,10000.0,-1307.0657783313418,0.3851745413910934,3851.745413910934,2544.6796355795923,10788.18650869505,280,56
59,10000.0,-551.0473871088478,0.0,0.0,-551.0473871088478,95.61148756182024,852,0
60,10000.0,-813.8529681990661,0.08540135472839014,854.0135472839014,40.16057908483526,5480.118292226299,716,12
61,10000.0,-998.9407851891356,0.0,0.0,-998.9407851891356,95.61148756182024,580,0
62,10000.0,-1261.7463662793539,0.00032583006714558146,3.2583006714558147,-1258.488065607898,240.4270296008866,332,4
63,10000.0,-1420.3740462406965,0.0,0.0,-1420.3740462406965,95.61148756182024,160,0
64,10000.0,-1683.1796273309149,0.28873417352376923,2887.3417352376923,1204.1621079067775,7755.946314728765,48,72
65,10000.0,-407.90788472330206,0.0,0.0,-407.90788472330206,95.61148756182024,892,0
66,10000.0,-677.289525694167,0.0,0.0,-677.289525694167,95.61148756182024,828,0
67,10000.0,-943.487857322695,0.0,0.0,-943.487857322695,95.61148756182024,640,0
68,10000.0,-1207.4348616491884,0.0,0.0,-1207.4348616491884,95.61148756182024,408,0
69,10000.0,-1469.6837916824243,0.0,0.0,-1469.6837916824243,95.61148756182024,168,0
70,10000.0,-1728.4196392046529,0.3547462719390091,3547.462719390091,1819.0430801854382,10104.791378569325,60,100
71,10000.0,-422.13605993890206,0.0,0.0,-422.13605993890206,95.61148756182024,860,0
72,10000.0,-682.1082714365973,0.0,0.0,-682.1082714365973,95.61148756182024,784,0
73,10000.0,-941.1485133896185,0.0,0.0,-941.1485133896185,95.61148756182024,672,0
74,10000.0,-1198.2344387049484,0.0,0.0,-1198.2344387049484,95.61148756182024,460,0
75,10000.0,-1453.6603888787233,0.0,0.0,-1453.6603888787233,95.61148756182024,224,0
76,10000.0,-1708.7943487855887,0.09545033800592014,954.5033800592014,-754.2909687263873,5457.476412939409,84,72
77,10000.0,-693.7057312425119,0.0,0.0,-693.7057312425119,95.61148756182024,668,0
78,10000.0,-965.9903862894043,0.04620475816084044,462.04758160840436,-503.942804681,3457.7354814810446,532,36
79,10000.0,-463.97200672411947,0.0,0.0,-463.97200672411947,95.61148756182024,856,0
80,10000.0,-736.0192428957422,0.0,0.0,-736.0192428957422,95.61148756182024,744,0
81,10000.0,-1004.8318748884891,0.0,0.0,-1004.8318748884891,95.61148756182024,600,0
82,10000.0,-1271.2416834113376,0.029266194636568515,292.66194636568514,-978.5797370456525,2312.7611523156493,396,12
83,10000.0,-1459.2150960910762,0.01084195555112789,108.4195555112789,-1350.7955405797973,1133.4934218405003,208,24
84,10000.0,-1133.761414785402,0.0,0.0,-1133.761414785402,95.61148756182024,404,0
85,10000.0,-1397.297713896634,0.21336599230330328,2133.6599230330326,736.3622091363986,7604.616368153027,268,48
86,10000.0,-582.7486506050612,0.0,0.0,-582.7486506050612,95.61148756182024,792,0
87,10000.0,-843.437601335339,0.0,0.0,-843.437601335339,95.61148756182024,696,0
88,10000.0,-1103.846544326395,0.0,0.0,-1103.846544326395,95.61148756182024,532,0
89,10000.0,-1362.7381184415178,0.006116291474501375,61.16291474501375,-1301.575203696504,1013.8510810456709,300,4
90,10000.0,-1358.0127854467044,0.0013720448238966365,13.720448238966364,-1344.292337207738,479.0053665715027,396,4
91,10000.0,-1546.450035597288,0.13561990729709536,1356.1990729709537,-190.25096262633429,6383.750182223833,260,64
92,10000.0,-563.6492367072557,0.0,0.0,-563.6492367072557,95.61148756182024,900,0
93,10000.0,-833.9718501875171,0.0,0.0,-833.9718501875171,95.61148756182024,540,0
94,10000.0,-1103.6357657338708,0.09481433047058746,948.1433047058746,-155.49246102799623,4770.346672736655,400,48
95,10000.0,-594.733790278417,0.0,0.0,-594.733790278417,95.61148756182024,776,0
96,10000.0,-859.3033175908042,0.0,0.0,-859.3033175908042,95.61148756182024,672,0
97,10000.0,-1120.8021248937337,0.0,0.0,-1120.8021248937337,95.61148756182024,504,0
98,10000.0,-1381.6557405754884,0.00018906972466582752,1.8906972466582752,-1379.7650433288302,133.38447382267876,320,8
99,10000.0,-1525.563174591087,0.007919251852778636,79.19251852778636,-1446.3706560633007,1153.737980292985,208,4
100,10000.0,-1711.0110135434431,0.08466865609738478,846.6865609738478,-864.3244525695953,4845.034597414013,128,56
