iteration,penalty_weight,original_objective,raw_penalty,weighted_penalty,penalized_objective,gradient_norm,undercured_voxels,overcured_voxels
0,100000000.0,4162.985653427058,1006.6961840897205,100669618408.97205,100669622571.9577,6974000430.361139,0,996
1,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
2,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
3,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
4,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
5,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
6,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
7,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
8,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
9,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
10,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
11,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
12,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
13,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
14,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
15,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
16,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
17,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
18,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
19,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
20,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
21,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
22,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
23,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
24,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
25,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
26,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
27,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
28,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
29,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
30,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
31,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
32,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
33,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
34,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
35,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
36,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
37,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
38,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
39,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
40,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
41,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
42,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
43,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
44,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
45,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
46,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
47,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
48,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
49,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
50,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
51,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
52,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
53,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
54,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
55,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
56,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
57,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
58,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
59,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
60,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
61,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
62,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
63,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
64,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
65,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
66,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
67,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
68,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
69,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
70,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
71,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
72,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
73,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
74,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
75,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
76,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
77,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
78,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
79,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
80,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
81,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
82,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
83,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
84,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
85,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
86,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
87,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
88,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
89,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
90,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
91,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
92,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
93,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
94,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
95,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
96,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
97,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
98,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
99,100000000.0,4318.659057747106,969.9999999999991,96999999999.99991,97000004318.65897,9561148775.537416,1000,0
100,100000000.0,31665.84709133356,22125.48638897693,2212548638897.693,2212548670563.54,22942398038.889755,0,5492
