iteration,penalty_weight,original_objective,raw_penalty,weighted_penalty,penalized_objective,gradient_norm,undercured_voxels,overcured_voxels
0,100.0,4162.985653427059,1006.6961840897205,100669.61840897205,104832.60406239911,7168.999936338074,0,996
1,100.0,2601.280705802173,56.951100174949886,5695.110017494989,8296.390723297161,1676.7447406256215,48,184
2,100.0,2901.914279604855,17.43830313106307,1743.830313106307,4645.744592711162,1013.9661221296466,92,32
3,100.0,3152.534855547466,70.3326512580341,7033.26512580341,10185.799981350876,2521.0260125856894,4,288
4,100.0,3056.449127051039,61.00266252653059,6100.266252653059,9156.7153797041,1961.4054684832847,240,0
5,100.0,3870.9860752170553,423.4696350948831,42346.963509488305,46217.94958470536,6565.007721939384,0,940
6,100.0,3124.366339512873,233.26040162718886,23326.040162718884,26450.406502231755,4476.546548951456,512,0
7,100.0,5560.521507854741,1648.3909097997998,164839.09097997998,170399.61248783473,10177.25980128275,0,1600
8,100.0,2799.252581860109,104.15418518060683,10415.418518060684,13214.671099920793,2368.2785669853524,292,12
9,100.0,3970.016940716393,537.7138759392143,53771.38759392143,57741.40453463782,6721.072586905462,0,964
10,100.0,2918.9522120076067,158.54506731835482,15854.506731835483,18773.45894384309,3335.119792888019,388,0
11,100.0,4579.641259076864,1015.6522531101833,101565.22531101834,106144.8665700952,8905.152186863532,0,1336
12,100.0,2868.24751497519,143.48413928071932,14348.413928071932,17216.661443047124,3058.5238948228716,364,0
13,100.0,4373.784530699659,880.4150863311538,88041.50863311539,92415.29316381505,8274.553117503932,0,1224
14,100.0,2871.7495231572098,144.14559475593614,14414.559475593614,17286.308998750825,3104.0740539367375,364,0
15,100.0,4401.845268012297,885.8574672551551,88585.74672551552,92987.59199352782,8531.470795697081,0,1276
16,100.0,2871.772812681721,146.53329203646285,14653.329203646284,17525.102016328005,3104.0740539367375,364,0
17,100.0,4392.192018816833,883.338990566408,88333.8990566408,92726.09107545763,8495.492829013294,0,1260
18,100.0,2878.5874893318964,146.75665556669097,14675.665556669097,17554.253046000995,3155.726442700212,372,0
19,100.0,4434.973604935265,918.2374644497754,91823.74644497754,96258.72004991281,8571.516730639998,0,1292
20,100.0,2874.738195741501,148.25203839165337,14825.203839165337,17699.94203490684,3104.0740539367375,364,0
21,100.0,4385.59271402177,881.3715670528034,88137.15670528033,92522.7494193021,8495.492829013294,0,1260
22,100.0,2880.86053339888,148.07504521790096,14807.504521790097,17688.365055188977,3155.726442700212,372,0
23,100.0,4430.155092499014,915.6247039903255,91562.47039903255,95992.62549153157,8530.2577756243,0,1276
24,100.0,2878.1091026563063,149.18281177182416,14918.281177182416,17796.39027983872,3155.726442700212,372,0
25,100.0,4423.556233911488,914.329909165578,91432.9909165578,95856.54715046928,8495.492829013294,0,1260
26,100.0,2881.951209439536,148.14020083020318,14814.020083020318,17695.971292459853,3104.0740539367375,364,0
27,100.0,4391.492438174071,880.6422947450868,88064.22947450868,92455.72191268275,8519.894442859997,0,1272
28,100.0,2882.9450752905864,150.09800901117825,15009.800901117826,17892.745976408412,3209.968525325716,380,0
29,100.0,4463.885822411359,950.4137854196106,95041.37854196105,99505.26436437242,8647.087437682892,0,1300
30,100.0,2880.1674644084605,149.59327818339287,14959.327818339287,17839.495282747746,3104.0740539367375,364,0
31,100.0,4384.605196897352,879.7804496308366,87978.04496308367,92362.65015998101,8495.492829013294,0,1260
32,100.0,2883.7008924176184,148.49097815616605,14849.097815616606,17732.798708034225,3104.0740539367375,364,0
33,100.0,4390.425382188776,880.1476261278357,88014.76261278357,92405.18799497234,8519.894442859997,0,1272
34,100.0,2883.4629984250037,149.71740715820212,14971.740715820211,17855.203714245214,3209.968525325716,380,0
35,100.0,4463.218554032775,950.6441752215954,95064.41752215955,99527.63607619233,8638.499476468747,0,1296
36,100.0,2881.072337641392,149.04459513999308,14904.459513999307,17785.5318516407,3155.726442700212,372,0
37,100.0,4423.9679548167915,914.4081554039512,91440.81554039512,95864.78349521192,8495.492829013294,0,1260
38,100.0,2882.3382866817606,147.16308368962598,14716.308368962598,17598.64665564436,3104.0740539367375,364,0
39,100.0,4392.442711996397,881.5200409514189,88152.00409514189,92544.44680713829,8530.2577756243,0,1276
40,100.0,2881.450064399495,148.68273019787247,14868.273019787248,17749.723084186742,3209.968525325716,380,0
41,100.0,4463.559891253248,951.304657704979,95130.4657704979,99594.02566175115,8647.087437682892,0,1300
42,100.0,2880.1655114869836,148.41504883014056,14841.504883014057,17721.67039450104,3104.0740539367375,364,0
